Kat. ceste;Stev. ceste;Stev. odseka;Prometni odsek;Stac. zacetka;Stac. konca;Stevno mesto;Ime stevnega mesta;Tip   stetja;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov.  < 3,5t;Sr. tov.  3,5-7t;Tez. tov. nad 7t;Tov. s prik.;Vlacilci;Dnevni NOO;Tip
G2;108;1182;RIBCE - LITIJA;0;13.422;678;Zgornji Log;QLTC10;8.380;76;7.275;26;675;91;85;37;115;301;DIST
G2;108;1183;LITIJA - ZAGORJE;0;14.981;620;Renke;QLTC10;4.815;71;4.105;23;383;80;49;20;84;211;DIST
G2;108;1184;ZAGORJE - TRBOVLJE;0;4.316;122;Trbovlje 4;QLTC8;7.098;32;6.423;14;381;74;58;19;97;221;DIST
G2;108;1185;TRBOVLJE - HRASTNIK;0;5.162;123;Hrastnik;QLTC10;5.816;70;5.045;56;378;76;74;21;96;274;DIST
G2;108;1186;HRASTNIK - ZIDANI MOST;0;8.291;124;Suhadol;QLTC8;1.476;22;1.352;0;99;2;1;0;0;1;PLDP
G2;109;1453;DOLGA VAS - MP DOLGA VAS;0;584;141;MT Dolga vas;QLTC8;4.291;34;1.930;20;294;34;20;310;1.649;1.401;PLDP
G2;109;0357;LENDAVA - PETISOVCI;0;3.500;89;Lendava 2;MWTC1;3.269;5;2.868;12;193;39;28;8;116;311;WIM
G2;109;0357;PETISOVCI - MP PETISOVCI;3.500;4.498;143;MP Petisovci;QLTC10;3.217;30;2.784;19;210;18;9;28;119;124;DIST
G2;111;0373;IZOLA - JAGODJE;0;3.074;13;Izolska obvoznica;QLTC8;20.383;271;18.375;96;1.434;101;63;9;34;143;PLDP
G2;111;1509;JAGODJE-VALETA;0;4.208;901;Belveder;QLTC8;22.992;364;20.624;180;1.609;100;64;9;42;197;PLDP
G2;111;0239;VALETA - LUCIJA;0;1.770;;;P;12.900;200;11.641;70;800;70;75;4;40;124;PLDP
G2;111;0239;LUCIJA -  SECOVLJE;1.770;7.000;10;Seca;QLTC8;10.621;155;9.800;42;478;46;73;4;23;89;PLDP
G2;111;0239;SECOVLJE - MP SECOVLJE;7.000;7.280;500;MP Secovlje;QLTC44;5.783;5;5.735;3;40;0;0;0;0;2;PLDP
G2;112;1254;MP HOLMEC - POLJANA;0;3.881;662;MT Holmec;QLTC10;2.413;39;2.116;3;145;13;11;16;70;71;PLDP
G2;112;1255;POLJANA - PREVALJE;0;2.000;432;Prevalje;QLTC10;8.776;69;7.780;47;580;78;84;28;110;229;DIST
G2;112;1255;PREVALJE - RAVNE;2.000;8.047;752;Dobja vas;QLTC8;15.469;97;13.815;81;1.026;133;150;36;131;335;DIST
G2;112;1256;RAVNE - DRAVOGRAD;0;7.008;160;Ravne;QLTC10;7.089;54;6.009;64;542;116;102;42;160;319;WIM
R1;201;0201;MP KORENSKO SEDLO - PODKOREN;0;3.755;659;MT Korensko sedlo;QLD5;1.947;165;1.576;6;181;9;9;0;1;10;PLDP
R1;201;0202;PODKOREN - KR.GORA;0;2.550;;;P;5.600;190;4.760;50;500;40;45;5;10;62;PLDP
R1;201;0203;KR.GORA - GOZD MARTULJEK;0;3.900;777;Kranjska Gora;QLTC8;7.471;202;6.395;83;676;46;47;6;16;84;PLDP
R1;201;0203;GOZD MARTULJEK - MOJSTRANA-DOVJE;3.900;12.100;631;Gozd Martuljek;QLTC8;7.014;180;6.067;82;560;43;56;6;20;89;PLDP
R1;201;0204;DOVJE - MOJSTRANA-KRAJE;0;2.420;776;Dovje;QLTC8;6.755;160;5.800;74;585;43;52;12;29;140;DIST
R1;201;0205;KRAJE - HRUSICA;0;4.030;902;Hrusica;QLTC8;8.542;170;7.471;85;645;56;66;13;36;169;WIM
R1;202;0234;MP RATECE - RATECE;0;1.380;658;MT Ratece;QLD5;2.288;109;2.014;18;108;20;14;2;3;22;PLDP
R1;202;0233;RATECE - PODKOREN;0;2.926;778;Ratece;R 10x4;3.000;110;2.638;45;150;30;20;3;4;40;PLDP
R1;203;1002;MP PREDEL - KLUZE;0;12.500;657;MT Predel;QLD5;1.033;148;755;11;85;14;15;3;2;18;PLDP
R1;203;1002;KLUZE - BOVEC;12.500;14.904;536;Kluze;R 07x1;1.400;160;1.069;11;120;15;20;3;2;21;PLDP
R1;203;1003;BOVEC(PO OBVOZNICI) - ZAGA;0;9.904;535;Bovec;QLTC10;1.998;170;1.479;8;289;24;21;3;4;24;PLDP
R1;203;1004;ZAGA - KOBARID;0;13.395;96;Srpenica;QLD5;2.577;137;1.971;46;271;53;70;11;18;84;PLDP
R1;204;1012;SEMPETER - VOLCJA DRAGA;0;2.800;262;Volcja Draga;QLTC8;8.671;122;7.967;24;490;31;33;2;2;37;PLDP
R1;204;1012;VOLCJA DRAGA - DORNBERK;2.800;8.343;203;Prvacina;QLTC8;5.921;123;5.301;24;387;40;34;5;7;44;PLDP
R1;204;1013;DORNBERK - STANJEL;0;13.078;204;Branik;QLTC10;2.237;98;1.936;8;160;13;15;4;3;18;PLDP
R1;204;1014;STANJEL - DUTOVLJE;0;7.820;24;Kopriva;R 11x4;1.750;90;1.469;10;140;20;14;3;4;20;PLDP
R1;204;1015;DUTOVLJE - SEZANA;0;7.890;205;Tomaj;QLTC10;2.954;92;2.609;12;187;30;14;3;7;25;PLDP
R1;205;1026;DIVACA - LOKEV-LIPICA;0;8.655;418;MT Lipica;QLD5;4.753;177;4.235;9;284;29;13;1;5;21;PLDP
R1;206;1027;KRANJSKA GORA  -  ERIKA;0;3.372;220;Erika;QLTC10;1.138;154;864;5;103;6;4;1;1;7;PLDP
R1;206;1043;RUSKA CESTA (ERIKA - VRSIC);0;8.978;;;P;700;30;571;9;80;5;4;1;0;8;PLDP
R1;206;1028;VRSIC - TRENTA;0;8.960;197;Vrsic;QLD5;522;120;348;3;37;7;6;1;0;6;PLDP
R1;206;1029;TRENTA - BOVEC;0;22.141;198;Koritnica;QLD5;1.459;137;1.143;11;129;18;18;2;1;19;PLDP
R1;207;1057;GODOVIC - CRNI VRH;0;6.871;105;Godovic;QLTC8;1.736;31;1.452;10;128;32;19;24;40;60;PLDP
R1;207;1058;CRNI VRH - COL;0;9.602;;;P;1.500;35;1.135;10;200;35;20;25;40;62;PLDP
R1;207;1413;COL - AJDOVSCINA;0;8.696;427;Budanje;QLTC10;2.937;69;2.492;8;232;38;28;25;45;69;PLDP
R1;208;1434;CRNI KAL  -  KORTINE;0;2.236;748;Crni Kal;QLTC10;3.999;271;3.249;24;340;37;54;4;20;60;PLDP
R1;208;1059;KORTINE - GRACISCE;0;8.555;2;Kubed;QLTC10;3.143;105;2.746;11;239;26;13;1;2;19;PLDP
R1;208;1060;GRACISCE - SOCERGA;0;5.000;151;Gracisce;MWTC1;2.309;105;1.954;10;186;40;8;2;4;20;PLDP
R1;208;1060;SOCERGA  -  MP  SOCERGA;5.000;8.453;502;MP Socerga;QLTC10;2.124;67;1.842;9;186;9;3;5;3;13;PLDP
R1;208;1149;RIZANA - KORTINE;0;1.950;771;Kortine;MWTC1;1.705;30;1.514;18;111;12;19;0;1;20;PLDP
R1;209;1088;LESCE - BLED;0;3.604;109;Bled;QLTC8;20.347;219;17.712;302;1.741;133;107;38;95;468;WIM
R1;209;1089;BLED - PRISTAVA;0;2.200;190;Bled jezero;QLTC10;8.324;192;6.906;183;836;62;47;23;75;177;PLDP
R1;209;1089;PRISTAVA - SOTESKA;2.200;10.530;110;Bohinjska Bela;PRAZNO;4.920;114;4.116;60;480;40;30;18;62;100;PLDP
R1;209;1090;SOTESKA - BITNJE;0;8.510;930;Nomenj;QLTC10;4.941;114;4.133;61;482;36;34;17;64;102;PLDP
R1;209;1091;BITNJE - BOH.BISTRICA;0;1.340;;;P;3.900;100;3.295;65;360;25;30;10;15;64;PLDP
R1;209;1092;BOH.BISTRICA - JEZERO;0;6.200;255;Ribcev Laz;PRAZNO;3.250;90;2.744;70;300;17;20;4;5;50;PLDP
R1;210;1105;MP ZG.JEZERSKO - ZG.JEZERSKO;0;6.850;661;MT Jezersko;QLD5;406;88;273;1;16;13;9;2;4;11;PLDP
R1;210;1105;ZG.JEZERSKO - SP.JEZERSKO;6.850;10.345;;;P;1.000;90;836;10;16;15;25;3;5;25;PLDP
R1;210;1106;SP. JEZERSKO - PREDDVOR;0;15.585;242;Kokra;QLD5;1.322;94;1.126;15;19;23;35;3;7;35;PLDP
R1;210;1107;PREDDVOR - KR(PRIMSKOVO);0;8.440;249;Visoko;QLTC10;6.375;145;5.658;35;443;32;35;10;17;57;PLDP
R1;210;1108;KR(PRIMSKOVO - LABORE);0;2.600;244;KR Primskovo 2;QLTC8;19.600;70;17.608;20;1.217;170;150;75;290;349;PLDP
R1;210;1109;KRANJ - SKOFJA LOKA;0;8.125;111;Dorfarje;QLTC8;13.765;103;12.033;81;1.086;127;112;75;148;374;WIM
R1;210;1392;OBVOZNICA SKOFJA LOKA;0;3.865;924;Skofjeloska obvoznica;QLTC10;9.584;86;8.320;34;812;119;85;46;82;210;WIM
R1;210;1110;SK.LOKA - GORENJA VAS;0;13.074;112;Log;QLTC10;7.774;97;6.725;48;649;100;68;29;58;168;DIST
R1;210;1111;GORENJA VAS - TREBIJA;0;4.819;408;Hotavlje;QLTC8;4.441;87;3.779;42;383;75;37;16;22;98;DIST
R1;210;1112;TREBIJA - SOVODENJ;0;5.880;409;Trebija;QLD5;1.557;23;1.343;13;92;32;43;7;4;52;DIST
R1;210;1113;SOVODENJ - CERKNO;0;11.884;934;Podjelovo Brdo;QLTC10;990;24;834;11;88;16;9;3;5;23;DIST
R1;210;1114;CERKNO - ZELIN;0;4.200;102;Cerkno;QLTC10;2.804;50;2.433;43;188;42;26;8;14;70;DIST
R1;210;1078;SKOFJA LOKA - JEPRCA;0;5.795;106;Godesic;QLTC8;14.162;97;12.056;74;1.201;195;141;128;270;507;DIST
R1;211;0211;KR (LABORE) - JEPRCA;0;8.150;625;Meja pri Kranju;QLTC8;8.054;92;7.074;115;552;81;54;17;69;147;PLDP
R1;211;0212;JEPRCA - MEDVODE;0;3.650;52;Medvode;QLTC10;17.878;148;15.145;185;1.449;270;185;134;362;719;DIST
R1;211;0212;MEDVODE - STANEZICE;3.650;8.000;643;Medno;QLTC8;22.147;167;19.033;255;1.650;272;214;158;398;829;WIM
R1;211;0212;STANEZICE  - LJ( SENTVID);8.000;8.814;;;P;23.700;170;20.495;260;1.600;390;220;165;400;656;PLDP
R1;212;1115;PRIKLJUCEK UNEC-UNEC;0;781;;;P;10.000;100;8.545;35;750;120;100;80;270;310;PLDP
R1;212;1116;UNEC - RAKEK;0;2.160;909;Rakek 2;QLTC10;8.421;98;7.059;36;701;105;78;79;265;575;DIST
R1;212;1117;RAKEK - CERKNICA;0;3.980;245;Rakek;QLTC10;9.704;110;8.205;50;794;123;80;80;262;594;DIST
R1;212;1118;CERKNICA - BL.POLICA;0;10.851;246;Grahovo;QLTC10;5.518;80;4.759;30;377;50;49;36;137;308;WIM
R1;212;1119;BL.POLICA - SODRAZICA;0;17.183;247;Nova vas;QLTC10;2.900;70;2.414;11;222;30;34;29;90;202;DIST
R1;212;1120;SODRAZICA - ZLEBIC;0;5.770;248;Zamostec;QLTC10;2.924;46;2.411;7;247;40;41;43;89;226;DIST
R1;213;1365;BLOSKA POLICA - PUDOB;0;8.200;386;Stari trg;QLTC10;3.194;43;2.825;35;172;24;21;20;54;77;PLDP
R1;213;1366;PUDOB - BABNO POLJE;0;10.357;384;MP Babno Polje;QLD5;609;24;533;9;2;11;6;11;13;24;PLDP
R1;214;1156;KOCEVJE - STARI LOG;0;11.670;;;P;1.300;70;1.152;10;0;15;14;14;25;39;PLDP
R1;214;1157;STARI LOG - DVOR;0;14.405;268;Smuka;QLTC10;1.454;66;1.154;13;135;19;14;19;34;50;PLDP
R1;215;1491;PRIKLJ. TREBNJE V - GRM;0;615;;;P;5.200;50;4.360;25;470;100;65;40;90;146;PLDP
R1;215;1490;GRM - TREBNJE;0;2.828;925;Grm;QLTC10;6.130;41;5.314;25;460;89;60;43;98;148;PLDP
R1;215;1506;TREBNJE (ODRGA - KAMNA GORA);0;360;;;P;8.300;45;7.190;20;600;170;65;45;165;208;PLDP
R1;215;1162;TREBNJE - MIRNA;0;6.290;903;Dol pri Trebnjem;QLTC10;7.804;58;6.770;26;613;93;71;45;128;279;DIST
R1;215;1162;MIRNA - MOKRONOG;6.290;14.042;270;Bistrica;QLTC10;5.054;52;4.312;21;403;79;59;38;90;215;DIST
R1;215;1163;MOKRONOG - BOSTANJ;0;18.421;448;Jelovec;QLTC10;2.858;42;2.322;13;264;55;44;30;88;180;WIM
R1;216;1367;IVANCNA GORICA - KRKA;0;6.805;387;Mrzlo Polje;QLTC10;7.782;58;6.891;29;582;61;56;34;71;134;WIM
R1;216;1175;KRKA - ZUZEMBERK;0;13.435;277;Zagradec;QLTC10;3.680;52;3.149;32;295;40;25;23;64;100;DIST
R1;216;1158;ZUZEMBERK - DVOR;0;4.270;278;Mackovec pri Dvoru;QLTC8;3.650;70;3.085;31;298;41;32;25;68;108;DIST
R1;216;1176;DVOR - SOTESKA;0;5.550;163;Dvor;QLTC8;5.039;79;4.283;43;395;57;51;43;88;154;DIST
R1;216;1177;SOTESKA - CRMOSNJICE;0;14.355;279;Podturn;QLTC10;3.730;48;3.169;18;337;39;37;26;56;96;DIST
R1;216;1178;CRMOSNJICE - RUCETNA VAS;0;9.600;737;Srednja vas;MWTC1;4.096;49;3.531;25;251;31;133;14;62;147;DIST
R1;216;1178;RUCETNA VAS - CRNOMELJ;9.600;15.082;280;Lokve;QLTC8;7.071;55;6.275;27;506;56;54;30;68;125;DIST
R1;216;1393;CRNOMELJ (MOSA PIJADE-KOCEVJE);0;1.044;;;P;6.000;50;5.392;3;450;35;30;10;30;49;PLDP
R1;217;1208;LIVOLD - BREZOVICA;0;16.230;466;Rajndol;QLD5;703;13;551;3;79;24;16;8;9;25;PLDP
R1;217;1209;BREZOVICA - DOBLICE;0;17.000;299;Brezovica pri Predgradu;R 09x1;60;5;35;5;10;5;0;0;0;3;PLDP
R1;217;1209;DOBLICE - KANIZARICA;17.000;19.930;300;Blatnik;QLD5;1.513;20;1.354;8;73;25;22;9;2;26;PLDP
R1;218;1211;METLIKA - PODZEMELJ;0;5.460;450;Podzemelj 3;MWTC1;4.006;28;3.513;34;272;28;99;7;25;90;PLDP
R1;218;1212;PODZEMELJ - CRNOMELJ;0;8.950;302;Podzemelj;QLTC10;3.493;27;3.117;17;223;27;35;13;34;60;PLDP
R1;218;1152;CRNOMELJ ;0;730;;;P;10.000;45;9.215;40;470;140;40;15;35;98;PLDP
R1;218;1213;CRNOMELJ - (VINISKA C.-KOCEVJE);0;1.061;;;P;5.450;40;4.820;35;360;110;35;20;30;87;PLDP
R1;218;1394;CRNOMELJ - (KOCEVJE) - KANIZARICA;0;1.285;308;Kanizarica;QLTC8;7.360;57;6.578;35;515;48;59;22;46;98;PLDP
R1;218;1214;KANIZARICA - VINICA;0;15.535;303;Dragatus;PRAZNO;3.060;30;2.710;30;220;17;30;7;16;68;WIM
R1;218;1153;VINICA ;0;160;;;P;2.500;30;2.225;25;120;15;35;30;20;63;PLDP
R1;218;1215;VINICA - MOST CEZ KOLPO;0;850;154;MP Vinica;QLTC10;1.451;23;1.214;15;110;14;30;27;18;53;PLDP
R1;219;1236;SL.BISTRICA - POLJCANE;0;8.496;125;Zg.Breznica;QLTC10;6.037;61;5.139;21;486;91;72;45;122;169;PLDP
R1;219;1410;POLJCANE ;0;700;;;P;6.900;60;5.975;25;490;90;95;40;125;181;PLDP
R1;219;1237;POLJCANE - PODPLAT;0;9.189;126;Podplat;QLTC10;5.030;57;4.180;27;421;87;97;39;122;252;WIM
R1;219;1239;MESTINJE - GOLOBINJEK;0;14.779;128;Podcetrtek;QLTC10;5.954;60;5.163;22;441;81;52;45;90;137;PLDP
R1;219;1240;GOLOBINJEK - BISTRICA;0;8.996;412;Lastnic;QLTC8;2.532;45;2.091;14;204;45;29;34;70;95;PLDP
R1;219;1421;BISTRICA OB SOTLI;0;720;;;P;3.800;50;3.390;15;190;40;30;30;55;83;PLDP
R1;219;1241;BISTRICA - BIZELJSKO;0;6.805;413;Bizeljsko;QLTC10;2.218;37;1.840;10;186;37;32;27;49;76;PLDP
R1;219;1242;BIZELJSKO - BREZICE;0;16.000;129;Bukosek;QLTC8;3.636;32;3.268;9;214;30;20;24;39;146;WIM
R1;219;1242;BREZICE - CATEZ;16.000;17.570;366;Brezice;QLTC10;14.653;107;13.043;84;1.028;115;92;58;126;543;DIST
R1;219;1480;CATEZ OB SAVI ;0;1.188;;;P;5.600;50;4.670;65;500;90;90;25;110;176;PLDP
R1;220;1334;KRSKO - SP.POHANCA;0;7.200;367;Dolenja vas;QLTC10;6.415;47;5.738;43;375;57;63;22;70;120;PLDP
R1;220;1334;SP.POHANCA - BREZICE;7.200;12.715;738;Spodnja Pohanca;QLTC10;5.211;40;4.688;25;299;49;38;19;53;85;PLDP
R1;221;1227;TROJANE - IZLAKE;0;6.652;314;Izlake;QLTC10;6.947;63;6.086;52;576;45;32;20;73;168;WIM
R1;221;1218;IZLAKE - ZAGORJE;0;6.474;306;Kisovec;QLTC10;9.292;70;8.311;69;617;66;50;23;86;216;DIST
R1;221;1219;ZAGORJE - BEVSKO;0;5.358;307;Bevsko;QLTC10;5.317;39;4.844;59;293;34;22;6;20;60;PLDP
R1;221;1220;BEVSKO - TRBOVLJE;0;3.123;582;Trbovlje;QLTC10;10.332;88;9.426;138;514;59;69;9;29;130;PLDP
R1;221;1221;TRBOVLJE - BOBEN - HRASTNIK;0;8.815;309;Hrastnik;R 08x4;500;40;419;4;30;5;2;0;0;4;PLDP
R1;221;1222;HRASTNIK - SMARJETA;0;9.650;310;Marno;QLTC10;4.766;45;4.091;25;307;73;110;22;93;153;PLDP
R1;222;1228;ZAGORJE - MOST CEZ SAVO;0;1.885;583;Zagorje-most;QLTC10;7.536;69;6.644;87;466;78;62;38;92;166;PLDP
R1;223;1229;BEVSKO - MOST CEZ SAVO;0;1.220;127;Trbovlje 2;QLTC10;7.258;73;6.473;82;411;73;71;20;55;133;PLDP
R1;224;1230;HRASTNIK - MOST CEZ SAVO;0;1.500;584;Hrastnik 2;QLTC10;6.126;54;5.299;83;401;76;92;22;99;173;PLDP
R1;225;1140;MENGES - DUPLICA;0;3.244;259;Smarca;QLTC10;12.191;85;10.758;29;854;118;78;29;240;546;DIST
R1;225;1359;DUPLICA - KAMNIK;0;3.793;362;Kamnik;QLTC10;17.793;139;15.685;38;1.330;153;129;40;279;699;WIM
R1;225;1424;KAMNIK - MEKINJE;0;700;;;P;7.800;110;6.655;30;520;110;100;25;250;258;PLDP
R1;225;1083;KAMNIK (MEKINJE) - SP.  STRANJE;0;2.000;231;Kamnik Fuzine;QLTC10;6.530;97;5.505;28;488;62;92;23;235;233;PLDP
R1;225;1083;SP. STRANJE - STAHOVICA;2.000;4.270;;;P;4.900;70;4.225;20;350;55;80;20;80;808;WIM
R1;225;1084;STAHOVICA - CRNIVEC;0;10.615;233;Podstudenec;QLTC10;1.873;46;1.624;16;137;19;16;6;9;142;WIM
R1;225;1085;CRNIVEC - GORNJI GRAD;0;12.200;237;Tirosek;QLTC10;922;37;764;11;74;15;8;4;9;100;DIST
R1;225;1085;GORNJI GRAD - RADMIRJE;12.200;17.571;234;Gornji Grad;QLTC10;2.042;40;1.756;8;167;27;22;8;14;171;DIST
R1;225;1248;RADMIRJE - MOZIRJE;0;8.731;232;Nizka;QLTC8;5.922;86;5.128;38;434;69;71;30;66;636;DIST
R1;225;1248;MOZIRJE ;8.731;11.302;139;Prihova;QLTC10;10.430;107;9.070;67;749;123;104;87;123;277;WIM
R1;225;1247;MOZIRJE - SOTESKA;0;2.339;577;Ljubija;MWTC1;10.299;29;8.984;80;632;162;189;66;157;341;DIST
R1;225;1246;SOTESKA - LETUS;0;3.300;34;Letus 2;QLTC10;6.230;74;5.294;53;490;97;70;57;95;201;DIST
R1;225;1246;LETUS - M.BRASLOVCE;3.300;6.050;138;Letus;QLTC10;8.857;114;7.598;55;675;127;82;69;137;256;DIST
R1;225;1246;M.BRASLOVCE - PARIZLJE;6.050;8.390;;;P;8.600;100;7.500;35;560;115;80;70;140;211;PLDP
R1;225;1246;PARIZLJE - SENTRUPERT;8.390;12.200;37;Orla vas;QLTC10;10.368;88;9.016;32;789;135;87;71;150;224;PLDP
R1;227;1264;RAVNE - KOTLJE;0;3.600;319;Brdinje;QLTC8;7.538;53;6.958;23;429;36;32;3;4;39;PLDP
R1;227;1423;KOTLJE - STARI TRG;0;8.430;921;Stari Trg pri SG;QLTC8;6.663;43;6.098;16;424;39;32;5;6;39;PLDP
R1;227;1423;STARI TRG - SLOVENJ GRADEC;8.430;11.154;;;P;9.600;60;8.475;75;830;55;55;25;25;104;PLDP
R1;228;1291;SPUHLJA - BORL;0;8.500;341;Stojnci;QLTC10;5.557;29;4.640;37;416;59;34;76;266;220;WIM
R1;228;1291;BORL - MP ZAVRC;8.500;13.900;340;MP Zavrc;QLTC8;2.695;11;2.048;18;215;37;21;83;262;205;DIST
R1;229;0248;PTUJ (BUDINA-CENTER);0;1.088;;;P;18.500;80;16.070;120;1.600;250;150;70;160;324;PLDP
R1;229;1417;PTUJ - ROGOZNICA;0;2.080;928;Ptuj;QLTC10;8.033;76;7.283;38;502;59;43;12;20;71;PLDP
R1;229;1286;ROGOZNICA - JANEZOVCI;0;4.830;927;Nova vas pri Ptuju;QLTC10;5.955;54;5.315;23;384;65;46;19;49;89;PLDP
R1;229;1286;JANEZOVCI - GOMILCI;4.830;7.360;;;P;3.650;50;3.197;15;240;50;40;18;40;73;PLDP
R1;229;1286;GOMILCI - SENARSKA;7.360;16.918;338;Gocova;QLTC10;3.416;42;2.966;9;268;46;30;17;38;63;PLDP
R1;230;0327;MP G.RADGONA - G.RADGONA;0;989;665;MT Gornja Radgona;QLTC8;7.040;56;6.519;5;274;24;23;26;113;106;PLDP
R1;230;0366;GORNJA RADGONA - RADENCI;0;5.680;86;Sratovci;QLTC8;7.258;69;6.383;71;419;87;83;36;110;230;DIST
R1;230;1164;RADENCI ;0;453;;;P;6.050;50;5.360;50;320;85;60;30;95;147;PLDP
R1;230;1308;RADENCI - VUCJA VAS;0;7.803;352;Radenci;QLTC10;4.085;49;3.552;15;261;42;47;26;93;144;DIST
R1;230;1399;VUCJA VAS - KRIZEVCI;0;4.527;576;Iljasevci;QLTC10;4.586;47;3.885;18;345;53;55;37;146;204;WIM
R1;230;1415;KRIZEVCI ;0;800;;;P;8.300;55;7.535;45;370;75;60;40;120;165;PLDP
R1;230;1309;KRIZEVCI - LJUTOMER;0;7.300;353;Norsinci;PRAZNO;6.250;60;5.406;40;400;100;80;44;120;181;PLDP
R1;230;1310;LJUTOMER - PAVLOVCI;0;13.770;354;Ivanjkovci;QLTC10;2.631;36;2.195;11;186;50;34;24;95;135;DIST
R1;230;1311;PAVLOVCI - ORMOZ;0;1.820;575;Pavlovci;QLTC10;4.457;50;3.863;17;295;58;47;27;100;122;PLDP
R1;230;1507;PUSENCI - ORMOZ;0;2.975;;;P;2.000;10;1.798;3;150;15;10;4;10;18;PLDP
R1;230;1507;ORMOZ - MP ORMOZ;2.975;3.100;156;MP Ormoz;QLTC10;1.440;3;1.398;1;35;2;1;0;0;1;PLDP
R1;231;1325;GIBINA - RAZKRIZJE;0;2.930;431;MP Gibina;QLD5;566;9;507;1;26;15;6;0;2;8;PLDP
R1;231;1323;RAZKRIZJE - STROCJA VAS;0;3.830;;;P;2.650;15;2.448;10;140;25;10;1;1;16;PLDP
R1;231;1327;STROCJA VAS - LJUTOMER;0;2.500;636;Strocja vas;QLTC10;3.805;44;3.449;10;215;28;28;9;22;44;PLDP
R1;232;1314;MP HODOS - HODOS;0;1.500;430;MT Hodos;QLD5;207;7;173;1;10;5;6;3;2;5;DIST
R1;232;1314;HODOS - SALOVCI;1.500;5.000;;;P;950;10;862;5;35;10;20;4;4;19;PLDP
R1;232;1314;SALOVCI - PETROVCI;5.000;10.458;487;Peskovci;QLD5;1.173;12;1.063;7;43;11;23;5;9;18;DIST
R1;232;1315;PETROVCI - MACKOVCI;0;6.500;;;P;3.000;25;2.752;10;130;25;30;8;20;42;PLDP
R1;232;1315;MACKOVCI - MARTJANCI;6.500;17.700;137;Vaneca;QLTC10;4.086;28;3.676;15;247;31;40;10;39;45;WIM
R1;232;1316;MARTJANCI - M.SOBOTA;0;2.470;499;Murska Sobota sever;QLTC10;12.305;65;11.182;63;679;106;91;33;86;121;DIST
R1;232;1470;MURSKA SOBOTA ;0;1.060;;;P;15.700;70;14.355;120;680;180;150;35;110;255;PLDP
R1;232;1406;M.SOBOTA - LIPOVCI;0;4.045;148;MS-Baksa;QLTC8;12.042;74;10.864;113;618;119;96;39;119;220;PLDP
R1;234;1476;DRAMLJE - DOLE;0;2.750;316;Dole;QLTC10;7.506;26;6.312;8;665;74;145;50;226;337;DIST
R1;234;1280;DOLE - SENTJUR;0;3.445;690;Lokarje;QLTC10;11.471;60;9.945;21;901;141;118;63;222;352;WIM
R1;235;0317;RADENCI - PETANJCI;0;2.047;446;Petanjci;QLTC10;4.831;51;4.221;65;309;62;56;19;48;111;PLDP
R1;235;0318;PETANJCI - M.SOBOTA(GAJ);0;7.473;623;Tropovci;QLTC8;5.019;37;4.469;67;278;55;66;14;33;103;PLDP
R1;235;1396;M.SOBOTA(GAJ) - PRIK.M.S.;0;2.858;479;MS Krog;QLTC10;3.882;12;3.476;6;265;32;21;16;54;64;PLDP
R2;401;1020;ZAGA - UCJA;0;7.445;551;MT Ucja;R 08x1;400;40;340;0;20;0;0;0;0;0;PLDP
R2;402;1010;SOLKAN - MOST CEZ SOCO;0;141;;;P;7.750;90;7.235;40;230;60;50;30;15;83;PLDP
R2;402;1426;SOLKAN MOST - GONJACE;0;10.396;219;Podsabotin;QLD5;3.016;41;2.707;12;152;48;45;2;9;44;PLDP
R2;402;1465;GONJACE - DOBROVO;0;4.553;755;Smartno v Brdih;QLTC10;2.329;52;2.024;7;185;24;25;3;9;28;PLDP
R2;402;1045;DOBROVO - NEBLO;0;2.700;;;P;4.320;50;4.010;8;200;25;20;2;5;23;PLDP
R2;402;1045;NEBLO - MP NEBLO;2.700;4.820;550;MT Neblo;QLD5;3.003;61;2.716;3;177;25;17;1;3;18;PLDP
R2;403;1071;BACA - KNEZA;0;6.153;108;Baca;QLTC10;1.343;67;1.155;2;94;10;10;2;3;11;PLDP
R2;403;1072;KNEZA - PODBRDO;0;15.734;;;P;1.100;60;967;1;50;10;10;1;1;9;WIM
R2;403;1073;PODBRDO - PETROVO BRDO;0;4.400;538;Petrovo brdo 1;MWTC1;688;64;538;1;75;2;4;4;0;6;PLDP
R2;403;1074;PETROVO BRDO - PODROST;0;8.100;539;Petrovo brdo 2;R 07x1;400;40;288;3;55;6;4;4;0;7;PLDP
R2;403;1075;PODROST - ZALI LOG;0;5.000;542;Zali Log;R 07x1;800;60;638;10;65;10;10;5;2;16;PLDP
R2;403;1075;ZALI LOG - CESNJICA;5.000;10.061;189;Zelezniki;QLTC10;2.121;72;1.830;22;147;16;23;5;6;31;PLDP
R2;403;1076;CESNJICA - SKOFJA LOKA;0;15.700;618;Bukovica;QLTC8;5.432;43;4.801;40;363;63;61;17;44;169;WIM
R2;403;1077;SKOFJA LOKA;0;890;107;Skofja Loka;QLTC8;20.737;118;18.635;290;1.296;158;136;29;75;291;PLDP
R2;404;1379;PODGRAD - IL.BISTRICA;0;10.143;397;Recica;QLTC10;3.100;28;2.736;15;196;28;31;12;54;89;WIM
R2;404;0342;IL.BISTRICA (VILHARJEVA CESTA);0;1.401;;;P;7.000;30;6.160;60;550;50;55;35;60;124;PLDP
