Kat. ceste;Štev. ceste;Štev. odseka;Prometni odsek;Stac. začetka;Stac. konca;Števno mesto;Tip pr. odseka;Tip avt. števca;Leto roč. (avt.) štetja;Ime števnega mesta;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov. < 3,5t;Sr. tov.  3,5-7t;Tež. tov. nad 7t;Tov. s prik.
R3;710;1292;MARIBOR-DVORJANE;0;11.965;342;O;QLD3;;Dogoše;11.557;42;10.792;51;418;142;90;22
R3;710;1292;DVORJANE-PTUJ;11.965;24.748;438;O;QLD3;;Vurberk;3.700;15;3.460;15;137;54;12;7
R3;711;9006;FRAM-RAČE;0;2.312;;P;;;;2.050;16;1.884;41;62;27;20;0
R3;711;9014;RAČE;0;550;;P;;;;1.640;13;1.507;33;49;22;16;0
R3;711;9013;RAČE-KUNGOTA-KIDRIČEVO;0;10.888;311;O;;02x4;Brunšvik;2.300;9;2.134;4;120;25;6;2
R3;712;1331;ŽIHLAVA-GABERNIK;0;13.000;;P;;;;520;3;468;4;23;14;4;4
R3;712;1331;GABERNIK-ROGOZNICA(PTUJ);13.000;21.173;363;O;;02x4;Pacinje;3.200;30;2.825;20;150;100;40;35
R3;713;4910;LJUTOMER-DORNAVA;0;24.800;733;O;;05x1;Savci;831;6;765;11;36;11;1;1
R3;713;4910;DORNAVA-KRIŽ.SPUHLJA;24.800;28.500;;P;;;;3.300;20;2.944;35;250;30;11;10
R3;713;4910;KRIŽ.SPUHLJA-PTUJ;28.500;31.230;;P;;;;1.500;10;1.255;5;200;20;5;5
R3;714;1293;VIDEM-RADENCI;0;10.353;343;O;;02x4;Okoslavci;950;7;854;16;59;10;3;1
R3;715;5645;M.SOBOTA-LEMERJE;0;8.500;490;O;;02x4;Lemerje 3;820;1;755;1;40;16;3;4
R3;715;5645;LEMERJE-SKAKOVCI;8.500;14.150;491;O;;02x4;Lemerje 2;2.300;2;2.101;27;110;39;14;7
R3;716;5637;LEMERJE-GRAD;0;11.210;489;O;;02x4;Lemerje 1;1.800;2;1.642;27;89;27;9;4
R3;716;5640;GRAD;0;1.450;;P;;;;650;4;593;10;20;21;2;0
R3;716;5630;GRAD-KUZMA;0;4.695;;P;;;;510;3;466;8;15;16;2;0
R3;717;1297;CANKOVA;0;822;;P;;;;350;4;336;0;10;0;0;0
R3;717;5614;CANKOVA-GERLINCI;0;5.200;;P;;;;100;1;92;1;2;3;1;0
R3;717;5615;KOROVCI;0;420;;P;;;;80;0;80;0;0;0;0;0
R3;717;5616;GERLINCI;0;355;;P;;;;50;0;50;0;0;0;0;0
R3;718;5620;PERTOČA-FIKŠINCI;0;4.688;;P;;;;50;0;45;1;2;2;0;0
R3;718;5619;FIKŠINCI;0;984;;P;;;;25;0;23;0;1;1;0;0
R3;719;5621;ROGAŠOVCI-KRAMAROVCI;0;2.953;;P;;;;50;0;45;1;2;2;0;0
R3;719;5622;KRAMAROVCI;0;630;;P;;;;50;0;50;0;0;0;0;0
R3;720;5624;SOTINA;0;2.266;;P;;;;50;0;50;0;0;0;0;0
R3;721;1317;PETROVCI-KUZMA;0;16.360;356;O;;01x1;Dolič;900;1;842;13;43;1;0;0
R3;721;1317;KUZMA-MP KUZMA;16.360;19.748;;P;;;;1.300;6;1.241;2;35;6;3;7
R3;722;1446;MP MARTINJE-MARTINJE;0;310;524;O;;04x1;MP Martinje;55;0;53;0;2;0;0;0
R3;723;5691;ŠALOVCI-ČEPINCI;0;6.638;;P;;;;150;1;140;2;3;2;2;0
R3;723;5657;ČEPINCI-MEJA MADŽARSKA;0;2.524;;P;;;;100;0;100;0;0;0;0;0
R3;724;5693;HODOŠ-DOMANJŠEVCI;0;5.055;;P;;;;100;0;95;1;2;1;1;0
R3;724;5694;DOMANJŠEVCI;0;1.060;;P;;;;100;0;95;1;2;1;1;0
R3;724;5661;DOMANJŠEVCI-BERKOVCI;0;3.770;;P;;;;100;0;95;1;2;1;1;0
R3;724;4210;BERKOVCI-KOBILJE;0;12.943;;P;;;;320;1;301;4;6;4;3;1
R3;725;5672;MARTJANCI-SEBEBORCI;0;3.167;492;O;;01x1;Martjanci;2.200;15;2.036;21;92;34;2;0
R3;725;5677;SEBEBORCI-TRAKŠAROV BREG;0;3.973;;P;;;;1.000;7;927;9;41;15;1;0
R3;725;5678;TRAKŠAROV BREG- FOKOVCI;0;440;;P;;;;500;3;463;5;21;8;0;0
R3;725;5668;FOKOVCI-PROSENJAKOVCI;0;7.595;;P;;;;50;1;47;0;2;0;0;0
R3;726;1321;RENKOVCI-ČRENŠOVCI;0;8.240;359;O;;02x4;Turnišče;2.450;11;2.226;29;114;35;20;15
R3;726;1322;ČRENŠOVCI-RAZKRIŽJE;0;6.210;360;O;QLD6;;Sr. Bistrica;2.215;17;1.869;14;123;46;41;105
R3;726;1324;STROČJA VAS-PAVLOVCI;0;13.277;140;O;;05x1;Miklavž;1.125;10;1.056;16;30;7;6;0
R3;727;1326;RAZKRIŽJE-MEJA R HRVAŠKA;0;475;;P;;;;450;2;438;0;10;0;0;0
R3;728;1148;ŠKOFLJICA-IG;0;5.325;161;O;;04x4;Ig;320;1;233;0;35;15;25;11
R3;728;4815;IG-RAKITNA;0;19.440;158;O;;04x4;Rakitna;40;1;36;1;1;1;0;0
R3;729;4206;HOTIZA-VELIKA POLANA;0;3.317;;P;;;;260;1;242;4;5;4;2;2
R3;729;4207;VELIKA POLANA-LIPA-BELTINCI;0;8.781;;P;;;;270;1;252;4;5;4;2;2
R3;730;4104;ŽICE-SV.ANA-ZG.ŠČAVNICA;0;5.835;;P;;;;1.050;3;977;15;20;15;10;10
R3;730;4105;ZG.ŠČAVNICA-DRAŽEN VRH;0;2.235;;P;;;;150;0;141;2;3;2;1;1
R3;731;8209;POLZELA-PARIŽLJE;0;1.050;;P;;;;2.000;30;540;40;300;400;250;440
R3;731;8209;PARIŽLJE-BRASLOVČE-M.BRASLOVČE;1.050;3.919;;P;;;;1.500;15;1.183;7;90;100;50;55
R3;732;8215;PONDOR-TABOR;0;2.388;;P;;;;500;2;443;3;21;19;8;4
R3;732;8259;TABOR-OJSTRIŠKA VAS-KAPLA;0;1.645;;P;;;;300;1;267;2;12;11;5;2
R3;733;5831;VAVTA VAS-DOL.TOPLICE;0;4.560;298;O;QLD3;;Dolenjske Toplice;3.880;12;3.577;29;116;80;25;41
R3;733;5831;DOL.TOPLICE-PODTURN;4.560;6.290;;P;;;;1.890;8;1.786;8;50;15;7;16
R3;734;4123;CERKVENJAK-VITOMARCI;0;5.733;;P;;;;150;1;131;1;6;4;3;4
R3;734;4121;VITOMARCI-GABRNIK;0;6.397;;P;;;;150;1;131;1;6;4;3;4
R3;735;6314;MUTA-VUZENICA;0;445;;P;;;;720;4;664;3;28;11;8;2
R3;737;9017;RAČE-ŠIKOLE;0;5.789;;P;;;;1.500;0;1.472;10;10;8;0;0
R3;738;6727;TRŽIŠČE-HOTEMEŽ;0;14.480;;P;;;;620;1;600;1;7;10;1;0
R3;739;6219;JANEŽOVSKI VRH-DESTRNIK;0;2.165;;P;;;;550;3;497;15;32;2;1;0
R3;740;1398;M.SOBOTA(GAJ)-M.SOBOTA;0;2.772;;P;;;;7.300;24;6.596;80;350;100;70;80
R3;741;1489;ŠKOFIJE MP;0;478;;P;;;;290;6;257;2;17;0;2;6
R3;741;0235;MP ŠKOFIJE - ŠKOFIJE;0;1.000;;P;;;;510;10;461;3;30;0;1;5
R3;741;0235;ŠKOFIJE-KRIŽ. DEKANI;1.000;2.055;686;O;QLD5;;Spodnje Škofije;7.200;60;6.890;30;50;110;50;10
R3;741;1487;DEKANI - PRIKLJ. LUKA KOPER;0;1.139;;P;;;;900;2;888;0;10;0;0;0
RT;901;1001;RATEČE-PLANICA;0;2.000;;P;;;;110;4;106;0;0;0;0;0
RT;902;1019;STRMEC-MANGART;0;11.710;;P;;;;50;2;48;0;0;0;0;0
RT;903;1021;IDRSKO_LIVEK;0;6.960;39;O;;05x1;Livek;78;2;72;0;4;0;0;0
RT;904;1093;JEZERO-ZLATOROG;0;4.200;240;O;;02x4;Bohinjsko jezero;1.350;29;1.175;50;75;12;8;1
RT;904;1093;ZLATOROG-SAVICA;4.200;8.200;;P;;;;270;3;259;6;1;1;0;0
RT;905;1095;GORJE-KRNICA;0;2.160;;P;;;;2.050;11;1.926;27;49;29;5;3
RT;905;1096;KRNICA-ZATRNIK;0;4.000;236;O;;02x4;Krnica;1.350;19;1.232;8;70;12;5;4
RT;905;1096;ZATRNIK-MRZLI STUDENEC;4.000;9.181;;P;;;;460;4;423;7;17;7;1;1
RT;905;1097;MRZLI STUDENEC-JEREKA;0;16.392;;P;;;;130;1;122;3;2;2;0;0
RT;906;1100;MRZLI STUD.-RUDNO POLJE;0;6.100;;P;;;;85;0;80;2;2;1;0;0
RT;907;1101;KRNICA-ZG.RADOVNA;0;11.756;;P;;;;88;0;83;2;2;1;0;0
RT;907;1102;ZG.RADOVNA-DOVJE;0;6.400;;P;;;;230;1;214;6;5;3;0;1
RT;908;1383;KRAJE-MOJSTRANA;0;2.000;;P;;;;1.100;10;974;40;40;30;6;0
RT;908;1383;MOJSTRANA-VRATA;2.000;11.600;;P;;;;200;0;188;4;4;4;0;0
RT;909;1125;BOH.BISTRICA-VRESJE;0;8.260;253;O;;04x4;Nemški Rovt;610;19;547;0;35;1;0;8
RT;909;1128;VRESJE-SORICA;0;9.342;;P;;;;150;2;139;2;5;2;0;0
RT;909;1129;SORICA-PETROVO BRDO;0;4.250;;P;;;;100;3;90;2;3;2;0;0
RT;910;1130;SORICA-PODROŠT;0;5.339;;P;;;;410;5;377;6;15;6;1;0
RT;911;1123;RUDNO-ROVTARICA;0;11.510;;P;;;;170;3;156;2;7;2;0;0
RT;911;1124;ROVTARICA-VRESJE;0;7.789;;P;;;;12;0;10;0;2;0;0;0
RT;912;7302;ZALI LOG-DAVČA;0;7.856;;P;;;;410;15;384;3;3;3;2;0
RT;912;7350;DAVČA-NOVAKI;0;3.065;;P;;;;515;10;484;4;10;4;3;0
RT;912;3105;NOVAKI-CERKNO;0;10.153;;P;;;;720;15;674;6;15;6;4;0
RT;913;6105;POSTOJNA-MOTEL ERAZEM;0;6.130;701;O;;01x1;Zagon;1.450;21;1.356;15;41;10;2;5
RT;913;6101;ERAZEM-VRHI;0;865;;P;;;;300;6;276;4;8;2;0;4
RT;913;6110;VRHI-BUKOVJE;0;1.940;;P;;;;200;4;184;3;5;2;0;2
RT;913;6109;BUKOVJE-PREDJAMA;0;1.716;;P;;;;150;3;138;3;4;1;0;1
RT;914;1372;POSTOJNA-RAKOV.ŠKOC.;0;4.081;;P;;;;2.000;21;1.726;44;119;68;12;10
RT;914;2402;RAKOV ŠKOCJAN-PODSKRAJNIK;0;7.085;152;O;;05x4;Zelše;140;1;126;4;6;1;1;1
RT;915;1376;IL.BISTRICA-GRDA DRAGA;0;21.260;;P;;;;40;1;37;0;1;1;0;0
RT;915;2427;GRDA DRAGA- PUDOB;0;28.100;498;O;;04x1;Kozarišče;16;1;14;0;0;0;0;1
RT;916;3653;DRAGARJI-MEDVEDJEK-DRAGA;0;17.209;;P;;;;30;1;26;1;2;0;0;0
RT;917;3602;KOČEVJE-ŽELJNE;0;2.923;;P;;;;820;2;765;2;30;10;10;1
RT;917;3621;ŽELJNE-ROG-BAZA-PODTURN;0;28.884;467;O;;05x1;Željne;74;1;67;0;2;0;2;2
RT;918;3652;KOT-GRGELJ;0;12.314;;P;;;;50;1;44;1;4;0;0;0
RT;918;3617;GRGELJ-FARA;0;11.100;;P;;;;50;1;44;1;4;0;0;0
RT;919;1341;PODZEMELJ-DOLENJCI;0;9.450;372;O;;05x1;Krasinec;749;4;679;14;37;13;1;1
RT;919;1466;ŽUNIČI-VINICA;0;10.340;373;O;;05x1;Vinica 1;463;5;412;5;29;4;5;3
RT;919;1343;VINICA-STARI TRG;0;20.220;374;O;;05x1;Vinica 2;158;2;145;5;6;0;0;0
RT;920;5899;VAHTA-GABRJE;0;22.745;;P;;;;30;1;27;0;1;0;1;0
RT;921;4306;KANDRŠE-VAČE-SP.HOTIČ;0;7.616;181;O;;01x1;Vače;970;8;875;10;43;18;14;2
RT;922;1455;GRAD-KRVAVEC;0;2.433;496;O;;05x4;Cerklje;927;4;873;6;28;8;6;2
RT;923;1087;STAHOVICA-KAM.BISTRICA;0;8.210;;P;;;;100;1;92;1;2;3;1;0
RT;924;3559;PODLOM-KR.RAK;0;4.540;169;O;;04x1;Kališe;190;4;173;0;9;1;3;0
RT;924;3559;KR.RAK-LUČE;4.540;15.971;;P;;;;150;2;137;0;7;4;0;0
RT;926;5501;SOLČAVA-PODOLŠEVA-SLEME;0;10.425;;P;;;;40;0;36;1;1;1;1;0
RT;926;6519;SLEME-KOPRIVNA;0;5.917;;P;;;;50;0;44;1;2;1;2;0
RT;926;6506;KOPRIVNA-ČRNA;0;7.980;477;O;;01x1;Pristava;900;6;796;13;27;23;27;8
RT;927;5502;ŽIBOVT-SV.DUH-PODOLŠEVA;0;10.345;;P;;;;40;0;36;1;1;1;1;0
RT;928;1253;MOZIRJE-GOLTE;0;4.350;;P;;;;520;26;479;4;4;4;3;0
RT;929;1332;HOČE-POHORSKA VZPENJAČA;0;16.575;495;O;;02x4;Hočko Pohorje;1.200;13;1.085;25;56;11;9;1
RT;929;1409;ODCEP ZA AREH;0;4.950;;P;;;;510;4;469;10;15;7;5;0
RT;929;7070;AREH-LUKANJA;0;20.920;;P;;;;40;0;34;0;2;2;2;0
RT;930;7065;PESEK-OPLOTNICA;0;18.820;;P;;;;150;0;133;3;4;4;4;2
RT;931;1354;RIBNICA-RIBNIŠKA KOČA;0;9.710;;P;;;;120;0;114;2;2;1;1;0
RT;932;6924;SL.GRADEC-SPOLE;0;4.500;;P;;;;1.260;3;1.223;4;19;11;0;0
RT;932;6924;SPOLE-PUNGART;4.500;15.352;;P;;;;220;0;215;0;3;2;0;0
RT;933;1193;BREG - LISCA;0;4.650;454;O;;01x1;Breg 1;600;9;559;2;23;6;1;0
RT;933;1193;LISCA-JURKLOŠTER;4.650;12.186;287;O;;01x1;Jurklošter;160;4;144;4;7;1;0;0
RT;934;6838;SEŽANA-LIPICA;0;3.494;57;O;;05x4;Lokev 1;2.520;24;2.332;20;98;27;9;10
RT;934;6840;LIPICA-LOKEV;0;4.139;75;O;;05x4;Lokev 2;1.169;8;1.061;6;59;19;8;8
RT;935;9042;FRAM-CESTNIK-AREH;0;13.900;;P;;;;50;0;48;1;1;0;0;0
RT;936;1063;COL-PREDMEJA;0;14.523;223;O;;04x1;Malo Polje;600;0;562;3;30;3;2;0
RT;937;8710;BRESTRNICA-GAJ-SV. JURIJ;0;14.162;;P;;;;50;0;47;0;1;2;0;0
RT;938;2503;ČERMOŠNJICE-KOMARNA V.-GRIČICE;0;6.317;;P;;;;50;3;44;0;2;1;0;0
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Legenda;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Kat. ceste;;;Kategorija ceste;;;;;;;Leto roč.(avt.) štetja;Leto zadnjega ročnega oz. avtomatskega štetja;;;;;;;
Štev. ceste;;;Oznaka ceste;;;;;;;Ime števnega mesta;Ime števnega mesta;;;;;;;
Štev. odseka;;;Oznaka odseka ceste;;;;;;;Vsa vozila (PLDP);PLDP - Povprečni letni dnevni promet vseh motornih vozil;;;;;;;
Prometni odsek;;;Opis poteka prometnega odseka;;;;;;;Motorji;MO - Motorji;;;;;;;
Stac. začetka;;;Stacionaža začetka prometnega odseka;;;;;;;Osebna vozila;OA - Osebna vozila;;;;;;;
Stac. konca;;;Stacionaža konca prometnega odseka;;;;;;;Avtobusi;BUS - Avtobusi;;;;;;;
Števno mesto;;;Oznaka števnega mesta;;;;;;;Lahka tov. < 3,5t;LT - Lahki tovorni promet do 3,5t;;;;;;;
Tip pr. odseka;;;O - Osnovni prometni odsek (na prometnem odseku se izvaja štetje);;;;;;;Sr. tov.  3,5-7t;ST - Srednje težki tovornjaki 3,5-7t;;;;;;;
;;;P - Privzeti promet (na prometnem odseku se ne izvaja štetje promet je ocenjen);;;;;;;Tež. tov. nad 7t;TT - Težki tovornjaki nad 7t;;;;;;;
Tip avt. števca;;;QLD-3  Števec QLD-3 loči osebna in tovorna vozila;;;;;;;Tov. s prik.;TP - Tovorni s prikolico;;;;;;;
;;;QLD-3_selitev  Štetje prometa vsak drugi mesec s števcem QLD3;;;;;;;;;;;;;;;
;;;QLD-5  Števec QLD-5 loči 5 kategorij vozil;;;;;;;;;;;;;;;
;;;QLD-6  Števec QLD-6 loči 10 kategorij vozil;;;;;;;;;;;;;;;
;;;SBH  Števec zaznava skupno število vozil;;;;;;;;;;;;;;;
